A,B
http://shakespeare.acropolis.org.uk/people/Claire+Skinner,http://dbpedia.org/resource/Claire_Skinner
http://shakespeare.acropolis.org.uk/people/Hugh+Ross,http://dbpedia.org/resource/Hugh_Ross_(actor)
http://shakespeare.acropolis.org.uk/people/Maxine+Audley,http://dbpedia.org/resource/Maxine_Audley
http://shakespeare.acropolis.org.uk/people/William+Marlowe,http://dbpedia.org/resource/William_Marlowe
http://shakespeare.acropolis.org.uk/people/Douglas+Blackwell,http://dbpedia.org/resource/Douglas_Blackwell
http://shakespeare.acropolis.org.uk/people/John+Slater,http://dbpedia.org/resource/John_Slater_(actor)
http://shakespeare.acropolis.org.uk/people/Gareth+Armstrong,http://dbpedia.org/resource/Gareth_Armstrong
http://shakespeare.acropolis.org.uk/people/Anthony+Smee,http://dbpedia.org/resource/Anthony_Smee
http://shakespeare.acropolis.org.uk/people/Justine+Waddell,http://dbpedia.org/resource/Justine_Waddell
http://shakespeare.acropolis.org.uk/people/Harriet+Walter,http://dbpedia.org/resource/Harriet_Walter
http://shakespeare.acropolis.org.uk/people/Nicholas+Selby,http://dbpedia.org/resource/Nicholas_Selby
http://shakespeare.acropolis.org.uk/people/Dallas+Adams,http://dbpedia.org/resource/Dallas_Adams
http://shakespeare.acropolis.org.uk/people/Geoffrey+Hinsliff,http://dbpedia.org/resource/Geoffrey_Hinsliff
http://shakespeare.acropolis.org.uk/people/Fiona+Victory,http://dbpedia.org/resource/Fiona_Victory
http://shakespeare.acropolis.org.uk/people/Peter+Marinker,http://dbpedia.org/resource/Peter_Marinker
http://shakespeare.acropolis.org.uk/people/Simon+Treves,http://dbpedia.org/resource/Simon_Treves
http://shakespeare.acropolis.org.uk/people/Cecil+Parker,http://dbpedia.org/resource/Cecil_Parker
http://shakespeare.acropolis.org.uk/people/Ben+Onwukwe,http://dbpedia.org/resource/Ben_Onwukwe
http://dbpedia.org/resource/Jonathan_Miller,http://shakespeare.acropolis.org.uk/people/Jonathan+Miller
http://shakespeare.acropolis.org.uk/people/Kate+Bush,http://dbpedia.org/resource/Kate_Bush
http://shakespeare.acropolis.org.uk/people/Michael+Robbins,http://dbpedia.org/resource/Michael_Robbins
http://shakespeare.acropolis.org.uk/people/Sean+Barrett,http://dbpedia.org/resource/Sean_Barrett_(actor)
http://shakespeare.acropolis.org.uk/people/Michael+Legge,http://dbpedia.org/resource/Michael_Legge_(actor)
http://shakespeare.acropolis.org.uk/people/Edith+Evans,http://dbpedia.org/resource/Edith_Evans
http://shakespeare.acropolis.org.uk/people/Jamie+Bamber,http://dbpedia.org/resource/Jamie_Bamber
http://shakespeare.acropolis.org.uk/people/Peter+Brook,http://dbpedia.org/resource/Peter_Brook
http://shakespeare.acropolis.org.uk/people/Roderick+Cook,http://dbpedia.org/resource/Roderick_Cook
http://shakespeare.acropolis.org.uk/people/Tim+Seely,http://dbpedia.org/resource/Tim_Seely
http://shakespeare.acropolis.org.uk/people/Jon+Laurimore,http://dbpedia.org/resource/Jon_Laurimore
http://shakespeare.acropolis.org.uk/people/Roger+Delgado,http://dbpedia.org/resource/Roger_Delgado
http://shakespeare.acropolis.org.uk/people/Percy+Edwards,http://dbpedia.org/resource/Percy_Edwards
http://shakespeare.acropolis.org.uk/people/Philip+Franks,http://dbpedia.org/resource/Philip_Franks
http://shakespeare.acropolis.org.uk/people/William+Fox,http://dbpedia.org/resource/William_Fox_(actor)
http://shakespeare.acropolis.org.uk/people/Bill+Wallis,http://dbpedia.org/resource/Bill_Wallis
http://shakespeare.acropolis.org.uk/people/Michael+N.+Harbour,http://dbpedia.org/resource/Michael_N._Harbour
http://shakespeare.acropolis.org.uk/people/Clifford+Rose,http://dbpedia.org/resource/Clifford_Rose
http://dbpedia.org/resource/Charles_Kay,http://shakespeare.acropolis.org.uk/people/Charles+Kay
http://shakespeare.acropolis.org.uk/people/Patsy+Smart,http://dbpedia.org/resource/Patsy_Smart
http://shakespeare.acropolis.org.uk/people/Susannah+York,http://dbpedia.org/resource/Susannah_York
http://shakespeare.acropolis.org.uk/people/Jeffry+Wickham,http://dbpedia.org/resource/Jeffry_Wickham
http://shakespeare.acropolis.org.uk/people/Maureen+Lipman,http://dbpedia.org/resource/Maureen_Lipman
http://shakespeare.acropolis.org.uk/people/William+Squire,http://dbpedia.org/resource/William_Squire
http://shakespeare.acropolis.org.uk/people/Timothy+Bateson,http://dbpedia.org/resource/Timothy_Bateson
http://shakespeare.acropolis.org.uk/people/Wolfe+Morris,http://dbpedia.org/resource/Wolfe_Morris
http://shakespeare.acropolis.org.uk/people/John+Alderton,http://dbpedia.org/resource/John_Alderton
http://shakespeare.acropolis.org.uk/people/Robert+Whelan,http://dbpedia.org/resource/Robert_Whelan_(actor)
http://shakespeare.acropolis.org.uk/people/Christopher+Godwin,http://dbpedia.org/resource/Christopher_Godwin
http://shakespeare.acropolis.org.uk/people/Michael+Deacon,http://dbpedia.org/resource/Michael_Deacon
http://shakespeare.acropolis.org.uk/people/Stella+Gonet,http://dbpedia.org/resource/Stella_Gonet
http://shakespeare.acropolis.org.uk/people/George+Merritt,http://dbpedia.org/resource/George_Merritt_(actor)
http://shakespeare.acropolis.org.uk/people/Michael+Goldie,http://dbpedia.org/resource/Michael_Goldie
http://shakespeare.acropolis.org.uk/people/Harold+Kasket,http://dbpedia.org/resource/Harold_Kasket
http://shakespeare.acropolis.org.uk/people/John+Duttine,http://dbpedia.org/resource/John_Duttine
http://shakespeare.acropolis.org.uk/people/John+Rhys-Davies,http://dbpedia.org/resource/John_Rhys-Davies
http://shakespeare.acropolis.org.uk/people/Clive+Morton,http://dbpedia.org/resource/Clive_Morton
http://shakespeare.acropolis.org.uk/people/Dudley+Foster,http://dbpedia.org/resource/Dudley_Foster
http://shakespeare.acropolis.org.uk/people/Sybil+Thorndike,http://dbpedia.org/resource/Sybil_Thorndike
http://shakespeare.acropolis.org.uk/people/Richard+Morant,http://dbpedia.org/resource/Richard_Morant
http://shakespeare.acropolis.org.uk/people/Peter+Kenny,http://dbpedia.org/resource/Peter_Kenny
http://shakespeare.acropolis.org.uk/people/Iain+Rattray,http://dbpedia.org/resource/Iain_Rattray
http://shakespeare.acropolis.org.uk/people/Barrie+Rutter,http://dbpedia.org/resource/Barrie_Rutter
http://shakespeare.acropolis.org.uk/people/Richard+Goolden,http://dbpedia.org/resource/Richard_Goolden
http://shakespeare.acropolis.org.uk/people/Stacy+Keach,http://dbpedia.org/resource/Stacy_Keach
http://shakespeare.acropolis.org.uk/people/Fiona+Shaw,http://dbpedia.org/resource/Fiona_Shaw
http://shakespeare.acropolis.org.uk/people/Denise+Bryer,http://dbpedia.org/resource/Denise_Bryer
http://shakespeare.acropolis.org.uk/people/Bernard+Cribbins,http://dbpedia.org/resource/Bernard_Cribbins
http://shakespeare.acropolis.org.uk/people/Eamon+Boland,http://dbpedia.org/resource/Eamon_Boland
http://shakespeare.acropolis.org.uk/people/Gerald+Kyd,http://dbpedia.org/resource/Gerald_Kyd
http://dbpedia.org/resource/David_William,http://shakespeare.acropolis.org.uk/people/David+William
http://shakespeare.acropolis.org.uk/people/Roy+Dotrice,http://dbpedia.org/resource/Roy_Dotrice
http://dbpedia.org/resource/Kenneth_Farrington,http://shakespeare.acropolis.org.uk/people/Kenneth+Farrington
http://shakespeare.acropolis.org.uk/people/Toby+Jones,http://dbpedia.org/resource/Toby_Jones
http://shakespeare.acropolis.org.uk/people/Eleanor+Bron,http://dbpedia.org/resource/Eleanor_Bron
http://dbpedia.org/resource/Patrick_Allen,http://shakespeare.acropolis.org.uk/people/Patrick+Allen
http://dbpedia.org/resource/Cedric_Messina,http://shakespeare.acropolis.org.uk/people/Cedric+Messina
http://shakespeare.acropolis.org.uk/people/Ronald+Hines,http://dbpedia.org/resource/Ronald_Hines
http://shakespeare.acropolis.org.uk/people/Trevor+Nunn,http://dbpedia.org/resource/Trevor_Nunn
http://shakespeare.acropolis.org.uk/people/Margot+Leicester,http://dbpedia.org/resource/Margot_Leicester
http://shakespeare.acropolis.org.uk/people/Isabelle+Lucas,http://dbpedia.org/resource/Isabelle_Lucas
http://shakespeare.acropolis.org.uk/people/Stephen+Hancock,http://dbpedia.org/resource/Stephen_Hancock
http://shakespeare.acropolis.org.uk/people/Sylvestra+Le+Touzel,http://dbpedia.org/resource/Sylvestra_Le_Touzel
http://shakespeare.acropolis.org.uk/people/Catherine+Feller,http://dbpedia.org/resource/Catherine_Feller
http://shakespeare.acropolis.org.uk/people/Chris+Pavlo,http://dbpedia.org/resource/Chris_Pavlo
http://shakespeare.acropolis.org.uk/people/Basil+Hoskins,http://dbpedia.org/resource/Basil_Hoskins
http://shakespeare.acropolis.org.uk/people/David+Weston,http://dbpedia.org/resource/David_Weston_(actor)
http://shakespeare.acropolis.org.uk/people/Simon+Armitage,http://dbpedia.org/resource/Simon_Armitage
http://shakespeare.acropolis.org.uk/people/Michael+Aldridge,http://dbpedia.org/resource/Michael_Aldridge
http://shakespeare.acropolis.org.uk/people/Samantha+Bond,http://dbpedia.org/resource/Samantha_Bond
http://shakespeare.acropolis.org.uk/people/Carole+Boyd,http://dbpedia.org/resource/Carole_Boyd
http://shakespeare.acropolis.org.uk/people/David+Harewood,http://dbpedia.org/resource/David_Harewood
http://shakespeare.acropolis.org.uk/people/John+Dougall,http://dbpedia.org/resource/John_Dougall_(actor)
http://shakespeare.acropolis.org.uk/people/Niamh+Cusack,http://dbpedia.org/resource/Niamh_Cusack
http://shakespeare.acropolis.org.uk/people/Juliet+Stevenson,http://dbpedia.org/resource/Juliet_Stevenson
http://shakespeare.acropolis.org.uk/people/Fabia+Drake,http://dbpedia.org/resource/Fabia_Drake
http://shakespeare.acropolis.org.uk/people/Nicholas+Le+Prevost,http://dbpedia.org/resource/Nicholas_Le_Prevost
http://shakespeare.acropolis.org.uk/people/Bernard+Lloyd,http://dbpedia.org/resource/Bernard_Lloyd
http://shakespeare.acropolis.org.uk/people/George+Baker,http://dbpedia.org/resource/George_Baker_(actor)
http://shakespeare.acropolis.org.uk/people/Richard+Briers,http://dbpedia.org/resource/Richard_Briers
http://shakespeare.acropolis.org.uk/people/Geoffrey+Whitehead,http://dbpedia.org/resource/Geoffrey_Whitehead
