name,uri
Alex Macleod,http://shakespeare.acropolis.org.uk/people/Alex+Macleod
Alexander Davion,http://shakespeare.acropolis.org.uk/people/Alexander+Davion
Alexander Hanson,http://dbpedia.org/resource/Alexander_Hanson_(actor)
Alexander Iden,http://shakespeare.acropolis.org.uk/people/Alexander+Iden
Alexander John,http://shakespeare.acropolis.org.uk/people/Alexander+John
Alexander Knox,http://dbpedia.org/resource/Alexander_Knox
Alexandra Segal,http://shakespeare.acropolis.org.uk/people/Alexandra+Segal
Alfie Bass,http://dbpedia.org/resource/Alfie_Bass
Alfred Burke,http://shakespeare.acropolis.org.uk/people/Alfred+Burke
Alfred Hoffman,http://shakespeare.acropolis.org.uk/people/Alfred+Hoffman
Alfred Ralston,http://shakespeare.acropolis.org.uk/people/Alfred+Ralston
Alice Arnold,http://shakespeare.acropolis.org.uk/people/Alice+Arnold
Alison Gilby,http://shakespeare.acropolis.org.uk/people/Alison+Gilby
Alison Hindell,http://shakespeare.acropolis.org.uk/people/Alison+Hindell
Alison Pettit,http://shakespeare.acropolis.org.uk/people/Alison+Pettit
Alison Reid,http://shakespeare.acropolis.org.uk/people/Alison+Reid
Alison Steadman,http://shakespeare.acropolis.org.uk/people/Alison+Steadman
Alistair Cameron,http://shakespeare.acropolis.org.uk/people/Alistair+Cameron
Alistair Henderson,http://shakespeare.acropolis.org.uk/people/Alistair+Henderson
Allan Cuthbertson,http://shakespeare.acropolis.org.uk/people/Allan+Cuthbertson
Allan Hendrick,http://shakespeare.acropolis.org.uk/people/Allan+Hendrick
Allan McClelland,http://shakespeare.acropolis.org.uk/people/Allan+McClelland
Allan Tyrer,http://shakespeare.acropolis.org.uk/people/Allan+Tyrer
Alton Kumalo,http://shakespeare.acropolis.org.uk/people/Alton+Kumalo
Alun Armstrong,http://dbpedia.org/resource/Alun_Armstrong_(actor)
Alun Horan,http://shakespeare.acropolis.org.uk/people/Alun+Horan
Alun Hughes,http://shakespeare.acropolis.org.uk/people/Alun+Hughes
Alvin Rakoff,http://shakespeare.acropolis.org.uk/people/Alvin+Rakoff
Amanda Barrie,http://shakespeare.acropolis.org.uk/people/Amanda+Barrie
Amanda Redman,http://dbpedia.org/resource/Amanda_Redman
Amanda Root,http://shakespeare.acropolis.org.uk/people/Amanda+Root
Amanda Walker,http://shakespeare.acropolis.org.uk/people/Amanda+Walker
Amina Ahmad,http://shakespeare.acropolis.org.uk/people/Amina+Ahmad
Amita Dhiri,http://shakespeare.acropolis.org.uk/people/Amita+Dhiri
Amy Darcy,http://shakespeare.acropolis.org.uk/people/Amy+Darcy
Amy Roberts,http://shakespeare.acropolis.org.uk/people/Amy+Roberts
Anastasia Hille,http://shakespeare.acropolis.org.uk/people/Anastasia+Hille
Andre Morell,http://dbpedia.org/resource/Andre_Morell
Andre Van Gysedham,http://shakespeare.acropolis.org.uk/people/Andre+Van+Gysedham
Andrew Barclay,http://shakespeare.acropolis.org.uk/people/Andrew+Barclay
