Jeffry Wickham,http://dbpedia.org/resource/Jeffry_Wickham
Maureen Lipman,http://dbpedia.org/resource/Maureen_Lipman
William Squire,http://dbpedia.org/resource/William_Squire
Timothy Bateson,http://dbpedia.org/resource/Timothy_Bateson
Wolfe Morris,http://dbpedia.org/resource/Wolfe_Morris
John Alderton,http://dbpedia.org/resource/John_Alderton
Robert Whelan,http://dbpedia.org/resource/Robert_Whelan_(actor)
Christopher Godwin,http://dbpedia.org/resource/Christopher_Godwin
Michael Deacon,http://dbpedia.org/resource/Michael_Deacon
Stella Gonet,http://dbpedia.org/resource/Stella_Gonet
George Merritt,http://dbpedia.org/resource/George_Merritt_(actor)
Michael Goldie,http://dbpedia.org/resource/Michael_Goldie
Harold Kasket,http://dbpedia.org/resource/Harold_Kasket
John Duttine,http://dbpedia.org/resource/John_Duttine
John Rhys-Davies,http://dbpedia.org/resource/John_Rhys-Davies
Clive Morton,http://dbpedia.org/resource/Clive_Morton
Dudley Foster,http://dbpedia.org/resource/Dudley_Foster
Sybil Thorndike,http://dbpedia.org/resource/Sybil_Thorndike
Richard Morant,http://dbpedia.org/resource/Richard_Morant
Peter Kenny,http://dbpedia.org/resource/Peter_Kenny
Iain Rattray,http://dbpedia.org/resource/Iain_Rattray
Barrie Rutter,http://dbpedia.org/resource/Barrie_Rutter
Richard Goolden,http://dbpedia.org/resource/Richard_Goolden
Stacy Keach,http://dbpedia.org/resource/Stacy_Keach
Fiona Shaw,http://dbpedia.org/resource/Fiona_Shaw
Denise Bryer,http://dbpedia.org/resource/Denise_Bryer
Bernard Cribbins,http://dbpedia.org/resource/Bernard_Cribbins
Eamon Boland,http://dbpedia.org/resource/Eamon_Boland
Gerald Kyd,http://dbpedia.org/resource/Gerald_Kyd
Roy Dotrice,http://dbpedia.org/resource/Roy_Dotrice
Toby Jones,http://dbpedia.org/resource/Toby_Jones
Eleanor Bron,http://dbpedia.org/resource/Eleanor_Bron
Ronald Hines,http://dbpedia.org/resource/Ronald_Hines
Trevor Nunn,http://dbpedia.org/resource/Trevor_Nunn
Margot Leicester,http://dbpedia.org/resource/Margot_Leicester
Isabelle Lucas,http://dbpedia.org/resource/Isabelle_Lucas
Stephen Hancock,http://dbpedia.org/resource/Stephen_Hancock
Sylvestra Le Touzel,http://dbpedia.org/resource/Sylvestra_Le_Touzel
Catherine Feller,http://dbpedia.org/resource/Catherine_Feller
Chris Pavlo,http://dbpedia.org/resource/Chris_Pavlo
Basil Hoskins,http://dbpedia.org/resource/Basil_Hoskins
Simon Armitage,http://dbpedia.org/resource/Simon_Armitage
Michael Aldridge,http://dbpedia.org/resource/Michael_Aldridge
Samantha Bond,http://dbpedia.org/resource/Samantha_Bond
Carole Boyd,http://dbpedia.org/resource/Carole_Boyd
David Harewood,http://dbpedia.org/resource/David_Harewood
Niamh Cusack,http://dbpedia.org/resource/Niamh_Cusack
Juliet Stevenson,http://dbpedia.org/resource/Juliet_Stevenson
Fabia Drake,http://dbpedia.org/resource/Fabia_Drake
Nicholas Le Prevost,http://dbpedia.org/resource/Nicholas_Le_Prevost
Bernard Lloyd,http://dbpedia.org/resource/Bernard_Lloyd
George Baker,http://dbpedia.org/resource/George_Baker_(actor)
Richard Briers,http://dbpedia.org/resource/Richard_Briers
Geoffrey Whitehead,http://dbpedia.org/resource/Geoffrey_Whitehead
Lynn Farleigh,http://dbpedia.org/resource/Lynn_Farleigh
John Hollis,http://dbpedia.org/resource/John_Hollis
Neil McCarthy,http://dbpedia.org/resource/Neil_McCarthy_(actor)
Eric Barker,http://dbpedia.org/resource/Eric_Barker
Laurence Olivier,http://dbpedia.org/resource/Laurence_Olivier
Nicholas Farrell,http://dbpedia.org/resource/Nicholas_Farrell
Eric Flynn,http://dbpedia.org/resource/Eric_Flynn
Mark Hadfield,http://dbpedia.org/resource/Mark_Hadfield
Bruce Alexander,http://dbpedia.org/resource/Bruce_Alexander_(actor)
Margaret Drabble,http://dbpedia.org/resource/Margaret_Drabble
Ishia Bennison,http://dbpedia.org/resource/Ishia_Bennison
Jeremy Young,http://dbpedia.org/resource/Jeremy_Young
Leonard Fenton,http://dbpedia.org/resource/Leonard_Fenton
Carol Ann Duffy,http://dbpedia.org/resource/Carol_Ann_Duffy
Roy Herrick,http://dbpedia.org/resource/Roy_Herrick
Gerard McSorley,http://dbpedia.org/resource/Gerard_McSorley
William Sylvester,http://dbpedia.org/resource/William_Sylvester
Joe Gladwin,http://dbpedia.org/resource/Joe_Gladwin
John Ogwen,http://dbpedia.org/resource/John_Ogwen
Robert Glenister,http://dbpedia.org/resource/Robert_Glenister
Adrian Noble,http://dbpedia.org/resource/Adrian_Noble
Philip Locke,http://dbpedia.org/resource/Philip_Locke
Gerald Cross,http://dbpedia.org/resource/Gerald_Cross
Ben Miles,http://dbpedia.org/resource/Ben_Miles
Timothy Spall,http://dbpedia.org/resource/Timothy_Spall
Richard Wattis,http://dbpedia.org/resource/Richard_Wattis
Donald Houston,http://dbpedia.org/resource/Donald_Houston
Adjoa Andoh,http://dbpedia.org/resource/Adjoa_Andoh
Michael Spice,http://dbpedia.org/resource/Michael_Spice
Jeffery Dench,http://dbpedia.org/resource/Jeffery_Dench
Sheila Hancock,http://dbpedia.org/resource/Sheila_Hancock
