Programme Number,Cast or Crew?,Person/Group Name,Role,Person/Group URI
ESB7574L,cast,Charles West,Casca,http://shakespeare.acropolis.org.uk/people/Charles+West
ESB7574L,cast,Terence Lodge,Cinna,http://shakespeare.acropolis.org.uk/people/Terence+Lodge
ESB7574L,cast,Alan Curtis,Trebonius,http://shakespeare.acropolis.org.uk/people/Alan+Curtis
ESB7574L,cast,David Terence,Metellus Cimber,http://shakespeare.acropolis.org.uk/people/David+Terence
ESB7574L,cast,Leon Eagles,Decius Brutus,http://shakespeare.acropolis.org.uk/people/Leon+Eagles
ESB7574L,cast,Daniel Thorndike,Caius Ligarius,http://shakespeare.acropolis.org.uk/people/Daniel+Thorndike
ESB7574L,cast,Dennis Edwards,Flavius,http://shakespeare.acropolis.org.uk/people/Dennis+Edwards
ESB7574L,cast,Reginald Pritchard,Citizen,http://shakespeare.acropolis.org.uk/people/Reginald+Pritchard
ESB7574L,cast,Peter Goss,Marullus,http://shakespeare.acropolis.org.uk/people/Peter+Goss
ESB7574L,cast,Robert Mooney,Soothsayer,http://shakespeare.acropolis.org.uk/people/Robert+Mooney
ESB7574L,cast,Leslie Hart,Lucius,http://shakespeare.acropolis.org.uk/people/Leslie+Hart
ESB7574L,cast,Owen Berry,Publius,http://shakespeare.acropolis.org.uk/people/Owen+Berry
ESB7574L,cast,Terence Greenidge,Popilius Lena,http://shakespeare.acropolis.org.uk/people/Terence+Greenidge
ESB7574L,cast,Sally Home,Portia,http://shakespeare.acropolis.org.uk/people/Sally+Home
ESB7574L,cast,Hildegard Neil,Calphurnia,http://shakespeare.acropolis.org.uk/people/Hildegard+Neil
ESB7574L,cast,Elizabeth Bradley,Plebeian,http://shakespeare.acropolis.org.uk/people/Elizabeth+Bradley
ESB7574L,cast,Robert Flynn,Octavius's servant,http://shakespeare.acropolis.org.uk/people/Robert+Flynn
ESB7574L,cast,Michael Graham,Octavius Caesar,http://shakespeare.acropolis.org.uk/people/Michael+Graham
ESB7574L,cast,Bill Hepper,Plebeian,http://shakespeare.acropolis.org.uk/people/Bill+Hepper
ESB7574L,cast,Gerry Jones,Plebeian,http://shakespeare.acropolis.org.uk/people/Gerry+Jones
ESB7574L,cast,John F. Landry,Mark Antony's servant,http://shakespeare.acropolis.org.uk/people/John+F.+Landry
ESB7574L,cast,Robert Mooney,Soothsayer,http://shakespeare.acropolis.org.uk/people/Robert+Mooney
ESB7574L,cast,Nigel Sharpe,Plebeian,http://shakespeare.acropolis.org.uk/people/Nigel+Sharpe
ESB7574L,cast,Raymond Smith,Cinna the Poet,http://shakespeare.acropolis.org.uk/people/Raymond+Smith
ESB7575F,cast,Gerald Young,Julius Caesar,http://shakespeare.acropolis.org.uk/people/Gerald+Young
ESB7575F,cast,Patrick Allen,Mark Antony,http://dbpedia.org/resource/Patrick_Allen
ESB7575F,cast,William Squire,Brutus,http://shakespeare.acropolis.org.uk/people/William+Squire
ESB7575F,cast,Bernard Archard,Cassius,http://shakespeare.acropolis.org.uk/people/Bernard+Archard
ESB7575F,cast,Charles West,Casca,http://shakespeare.acropolis.org.uk/people/Charles+West
ESB7575F,cast,Terence Lodge,Cinna,http://shakespeare.acropolis.org.uk/people/Terence+Lodge
ESB7575F,cast,Alan Curtis,Trebonius,http://shakespeare.acropolis.org.uk/people/Alan+Curtis
ESB7575F,cast,David Terence,Metellus Cimber,http://shakespeare.acropolis.org.uk/people/David+Terence
ESB7575F,cast,Leon Eagles,Decius Brutus,http://shakespeare.acropolis.org.uk/people/Leon+Eagles
ESB7575F,cast,Daniel Thorndike,Caius Ligarius,http://shakespeare.acropolis.org.uk/people/Daniel+Thorndike
ESB7575F,cast,Dennis Edwards,Flavius,http://shakespeare.acropolis.org.uk/people/Dennis+Edwards
ESB7575F,cast,Reginald Pritchard,Citizen,http://shakespeare.acropolis.org.uk/people/Reginald+Pritchard
ESB7575F,cast,Peter Goss,Marullus,http://shakespeare.acropolis.org.uk/people/Peter+Goss
ESB7575F,cast,Robert Mooney,Soothsayer,http://shakespeare.acropolis.org.uk/people/Robert+Mooney
ESB7575F,cast,Leslie Hart,Lucius,http://shakespeare.acropolis.org.uk/people/Leslie+Hart
ESB7575F,cast,Owen Berry,Publius,http://shakespeare.acropolis.org.uk/people/Owen+Berry
ESB7575F,cast,Terence Greenidge,Popilius Lena,http://shakespeare.acropolis.org.uk/people/Terence+Greenidge
ESB7575F,cast,Sally Home,Portia,http://shakespeare.acropolis.org.uk/people/Sally+Home
ESB7575F,cast,Hildegard Neil,Calphurnia,http://shakespeare.acropolis.org.uk/people/Hildegard+Neil
ESB7575F,cast,Elizabeth Bradley,Plebeian,http://shakespeare.acropolis.org.uk/people/Elizabeth+Bradley
ESB7575F,cast,Robert Flynn,Octavius's servant,http://shakespeare.acropolis.org.uk/people/Robert+Flynn
ESB7575F,cast,Michael Graham,Octavius Caesar,http://shakespeare.acropolis.org.uk/people/Michael+Graham
ESB7575F,cast,Bill Hepper,Plebeian,http://shakespeare.acropolis.org.uk/people/Bill+Hepper
ESB7575F,cast,Gerry Jones,Plebeian,http://shakespeare.acropolis.org.uk/people/Gerry+Jones
ESB7575F,cast,John F. Landry,Mark Antony's servant,http://shakespeare.acropolis.org.uk/people/John+F.+Landry
ESB7575F,cast,Robert Mooney,Soothsayer,http://shakespeare.acropolis.org.uk/people/Robert+Mooney
ESB7575F,cast,Nigel Sharpe,Plebeian,http://shakespeare.acropolis.org.uk/people/Nigel+Sharpe
ESB7575F,cast,Raymond Smith,Cinna the Poet,http://shakespeare.acropolis.org.uk/people/Raymond+Smith
ESB7576A,cast,Gerald Young,Julius Caesar,http://shakespeare.acropolis.org.uk/people/Gerald+Young
ESB7576A,cast,Patrick Allen,Mark Antony,http://dbpedia.org/resource/Patrick_Allen
ESB7576A,cast,William Squire,Brutus,http://shakespeare.acropolis.org.uk/people/William+Squire
ESB7576A,cast,Bernard Archard,Cassius,http://shakespeare.acropolis.org.uk/people/Bernard+Archard
ESB7576A,cast,Charles West,Casca,http://shakespeare.acropolis.org.uk/people/Charles+West
ESB7576A,cast,Terence Lodge,Cinna,http://shakespeare.acropolis.org.uk/people/Terence+Lodge
ESB7576A,cast,Alan Curtis,Trebonius,http://shakespeare.acropolis.org.uk/people/Alan+Curtis
ESB7576A,cast,David Terence,Metellus Cimber,http://shakespeare.acropolis.org.uk/people/David+Terence
ESB7576A,cast,Leon Eagles,Decius Brutus,http://shakespeare.acropolis.org.uk/people/Leon+Eagles
ESB7576A,cast,Daniel Thorndike,Caius Ligarius,http://shakespeare.acropolis.org.uk/people/Daniel+Thorndike
ESB7576A,cast,Dennis Edwards,Flavius,http://shakespeare.acropolis.org.uk/people/Dennis+Edwards
ESB7576A,cast,Reginald Pritchard,Citizen,http://shakespeare.acropolis.org.uk/people/Reginald+Pritchard
ESB7576A,cast,Peter Goss,Marullus,http://shakespeare.acropolis.org.uk/people/Peter+Goss
ESB7576A,cast,Robert Mooney,Soothsayer,http://shakespeare.acropolis.org.uk/people/Robert+Mooney
ESB7576A,cast,Leslie Hart,Lucius,http://shakespeare.acropolis.org.uk/people/Leslie+Hart
ESB7576A,cast,Owen Berry,Publius,http://shakespeare.acropolis.org.uk/people/Owen+Berry
ESB7576A,cast,Terence Greenidge,Popilius Lena,http://shakespeare.acropolis.org.uk/people/Terence+Greenidge
ESB7576A,cast,Sally Home,Portia,http://shakespeare.acropolis.org.uk/people/Sally+Home
ESB7576A,cast,Hildegard Neil,Calphurnia,http://shakespeare.acropolis.org.uk/people/Hildegard+Neil
ESB7576A,cast,Elizabeth Bradley,Plebeian,http://shakespeare.acropolis.org.uk/people/Elizabeth+Bradley
ESB7576A,cast,Robert Flynn,Octavius's servant,http://shakespeare.acropolis.org.uk/people/Robert+Flynn
ESB7576A,cast,Michael Graham,Octavius Caesar,http://shakespeare.acropolis.org.uk/people/Michael+Graham
ESB7576A,cast,Bill Hepper,Plebeian,http://shakespeare.acropolis.org.uk/people/Bill+Hepper
ESB7576A,cast,Gerry Jones,Plebeian,http://shakespeare.acropolis.org.uk/people/Gerry+Jones
ESB7576A,cast,John F. Landry,Mark Antony's servant,http://shakespeare.acropolis.org.uk/people/John+F.+Landry
ESB7576A,cast,Robert Mooney,Soothsayer,http://shakespeare.acropolis.org.uk/people/Robert+Mooney
ESB7576A,cast,Nigel Sharpe,Plebeian,http://shakespeare.acropolis.org.uk/people/Nigel+Sharpe
ESB7576A,cast,Raymond Smith,Cinna the Poet,http://shakespeare.acropolis.org.uk/people/Raymond+Smith
ESB7577T,cast,Gerald Young,Julius Caesar,http://shakespeare.acropolis.org.uk/people/Gerald+Young
ESB7577T,cast,Patrick Allen,Mark Antony,http://dbpedia.org/resource/Patrick_Allen
ESB7577T,cast,William Squire,Brutus,http://shakespeare.acropolis.org.uk/people/William+Squire
ESB7577T,cast,Bernard Archard,Cassius,http://shakespeare.acropolis.org.uk/people/Bernard+Archard
ESB7577T,cast,Charles West,Casca,http://shakespeare.acropolis.org.uk/people/Charles+West
ESB7577T,cast,Terence Lodge,Cinna,http://shakespeare.acropolis.org.uk/people/Terence+Lodge
ESB7577T,cast,Alan Curtis,Trebonius,http://shakespeare.acropolis.org.uk/people/Alan+Curtis
ESB7577T,cast,David Terence,Metellus Cimber,http://shakespeare.acropolis.org.uk/people/David+Terence
ESB7577T,cast,Leon Eagles,Decius Brutus,http://shakespeare.acropolis.org.uk/people/Leon+Eagles
ESB7577T,cast,Daniel Thorndike,Caius Ligarius,http://shakespeare.acropolis.org.uk/people/Daniel+Thorndike
ESB7577T,cast,Dennis Edwards,Flavius,http://shakespeare.acropolis.org.uk/people/Dennis+Edwards
ESB7577T,cast,Reginald Pritchard,Citizen,http://shakespeare.acropolis.org.uk/people/Reginald+Pritchard
ESB7577T,cast,Peter Goss,Marullus,http://shakespeare.acropolis.org.uk/people/Peter+Goss
ESB7577T,cast,Robert Mooney,Soothsayer,http://shakespeare.acropolis.org.uk/people/Robert+Mooney
ESB7577T,cast,Leslie Hart,Lucius,http://shakespeare.acropolis.org.uk/people/Leslie+Hart
ESB7577T,cast,Owen Berry,Publius,http://shakespeare.acropolis.org.uk/people/Owen+Berry
ESB7577T,cast,Terence Greenidge,Popilius Lena,http://shakespeare.acropolis.org.uk/people/Terence+Greenidge
ESB7577T,cast,Sally Home,Portia,http://shakespeare.acropolis.org.uk/people/Sally+Home
ESB7577T,cast,Hildegard Neil,Calphurnia,http://shakespeare.acropolis.org.uk/people/Hildegard+Neil
ESB7577T,cast,Elizabeth Bradley,Plebeian,http://shakespeare.acropolis.org.uk/people/Elizabeth+Bradley
ESB7577T,cast,Robert Flynn,Octavius's servant,http://shakespeare.acropolis.org.uk/people/Robert+Flynn
ESB7577T,cast,Michael Graham,Octavius Caesar,http://shakespeare.acropolis.org.uk/people/Michael+Graham
ESB7577T,cast,Bill Hepper,Plebeian,http://shakespeare.acropolis.org.uk/people/Bill+Hepper
ESB7577T,cast,Gerry Jones,Plebeian,http://shakespeare.acropolis.org.uk/people/Gerry+Jones
ESB7577T,cast,John F. Landry,Mark Antony's servant,http://shakespeare.acropolis.org.uk/people/John+F.+Landry
ESB7577T,cast,Robert Mooney,Soothsayer,http://shakespeare.acropolis.org.uk/people/Robert+Mooney
ESB7577T,cast,Nigel Sharpe,Plebeian,http://shakespeare.acropolis.org.uk/people/Nigel+Sharpe
ESB7577T,cast,Raymond Smith,Cinna the Poet,http://shakespeare.acropolis.org.uk/people/Raymond+Smith
ESBB761X,cast,Richard Pasco,Brutus,http://dbpedia.org/resource/Richard_Pasco
ESBB761X,cast,Charles Gray,Julius Caesar,http://dbpedia.org/resource/Charles_Gray_(actor)
ESBB761X,cast,Keith Michell,Marc Antony,http://dbpedia.org/resource/Keith_Michell
ESBB761X,cast,David Collings,Cassius,http://dbpedia.org/resource/David_Collings
ESBB761X,cast,Virginia McKenna,Portia,http://dbpedia.org/resource/Virginia_McKenna
ESBB761X,cast,Elizabeth Spriggs,Calphurnia,http://dbpedia.org/resource/Elizabeth_Spriggs
ESBB761X,cast,Sam Dastor,Casca,http://dbpedia.org/resource/Sam_Dastor
ESBB761X,cast,Jon Laurimore,Flavius,http://shakespeare.acropolis.org.uk/people/Jon+Laurimore
ESBB761X,cast,John Sterland,Marullus,http://dbpedia.org/resource/John_Sterland
ESBB761X,cast,Garrick Hagon,Octavius Caesar,http://shakespeare.acropolis.org.uk/people/Garrick+Hagon
ESBB761X,cast,Brian Coburn,Messala,http://shakespeare.acropolis.org.uk/people/Jon+Laurimore
ESBB761X,cast,Leonard Preston,Titinius,http://shakespeare.acropolis.org.uk/people/Leonard+Preston
ESBB761X,cast,Alexander Davion,Decius Brutus,http://shakespeare.acropolis.org.uk/people/Alexander+Davion
ESBB761X,cast,Darien Angadi,Cinna,http://shakespeare.acropolis.org.uk/people/Darien+Angadi
ESBB761X,cast,Andrew Hilton,Lucilius,http://shakespeare.acropolis.org.uk/people/Andrew+Hilton
ESBB761X,cast,Anthony Dawes,Ligarius,http://shakespeare.acropolis.org.uk/people/Anthony+Dawes
ESBB761X,cast,Roger Bizley,Metellus,http://shakespeare.acropolis.org.uk/people/Roger+Bizley
ESBB761X,cast,Manning Wilson,Cicero,http://shakespeare.acropolis.org.uk/people/Manning+Wilson
ESBB761X,cast,Ronald Forfar,Soothsayer,http://dbpedia.org/resource/Ronald_Forfar
ESBB761X,cast,Patrick Marley,Artemidorus,http://shakespeare.acropolis.org.uk/people/Patrick+Marley
ESBB761X,cast,William Simons,Trebonius,http://shakespeare.acropolis.org.uk/people/William+Simons
ESBB761X,cast,John Tordoff,Cinna the Poet,http://shakespeare.acropolis.org.uk/people/John+Tordoff
ESBB761X,cast,Philip York,Young Cato,http://shakespeare.acropolis.org.uk/people/Philip+York
ESBB761X,cast,Christopher Good,Clitus,http://shakespeare.acropolis.org.uk/people/Christopher+Good
ESBB761X,cast,Robert Oates,Pindarus,http://shakespeare.acropolis.org.uk/people/Robert+Oates
ESBB761X,cast,Alan Thompson,First Citizen,http://shakespeare.acropolis.org.uk/people/Alan+Thompson
ESBB761X,cast,Alan Thompson,First Plebeian,http://shakespeare.acropolis.org.uk/people/Alan+Thompson
ESBB761X,cast,Leo Dolan,Second Citizen,http://shakespeare.acropolis.org.uk/people/Leo+Dolan
ESBB761X,cast,Leo Dolan,Second Plebeian,http://shakespeare.acropolis.org.uk/people/Leo+Dolan
ESBB761X,cast,Johnnie Wade,Third Plebeian,http://shakespeare.acropolis.org.uk/people/Johnnie+Wade
ESBB761X,cast,Johnnie Wade,First Soldier,http://shakespeare.acropolis.org.uk/people/Johnnie+Wade
ESBB761X,cast,David Henry,Fourth Plebeian,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB761X,cast,David Henry,Second Soldier,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB761X,cast,Jonathan Scott Taylor,Lucius,http://shakespeare.acropolis.org.uk/people/Jonathan+Scott+Taylor
ESBB761X,cast,Tom Kelly,Claudius,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB761X,cast,Tom Kelly,Antony's Servant,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB761X,cast,Jack Elliott,Octavius' Servant,http://shakespeare.acropolis.org.uk/people/Jack+Elliott
ESBB761X,cast,Jack Elliott,Messenger,http://shakespeare.acropolis.org.uk/people/Jack+Elliott
ESBB761X,cast,Michael Cogan,Caesar's Servant,http://shakespeare.acropolis.org.uk/people/Michael+Cogan
ESBB761X,cast,Reginald Jessup,Poet,http://shakespeare.acropolis.org.uk/people/Reginald+Jessup
ESBB761X,cast,Maurice Thorogood,Strato,http://shakespeare.acropolis.org.uk/people/Maurice+Thorogood
ESBB761X,cast,Michael Greatorex,Varro,http://shakespeare.acropolis.org.uk/people/Michael+Greatorex
ESBB761X,cast,Nicholas Gecks,Volumnius,http://dbpedia.org/resource/Nicholas_Gecks
ESBB761X,cast,Michael Jenkinson,Dardanius,http://shakespeare.acropolis.org.uk/people/Michael+Jenkinson
ESBB761X,cast,Roy Spencer,Lepidus,http://shakespeare.acropolis.org.uk/people/Michael+Greatorex
ESBB761X,cast,Terence Conoley,Popilius,http://shakespeare.acropolis.org.uk/people/Terence+Conoley
ESBB761X,cast,Noel Johnson,Publius,http://dbpedia.org/resource/Noel_Johnson
ESBB762R,cast,Richard Pasco,Brutus,http://dbpedia.org/resource/Richard_Pasco
ESBB762R,cast,Charles Gray,Julius Caesar,http://dbpedia.org/resource/Charles_Gray_(actor)
ESBB762R,cast,Keith Michell,Marc Antony,http://dbpedia.org/resource/Keith_Michell
ESBB762R,cast,David Collings,Cassius,http://dbpedia.org/resource/David_Collings
ESBB762R,cast,Virginia McKenna,Portia,http://dbpedia.org/resource/Virginia_McKenna
ESBB762R,cast,Elizabeth Spriggs,Calphurnia,http://dbpedia.org/resource/Elizabeth_Spriggs
ESBB762R,cast,Sam Dastor,Casca,http://dbpedia.org/resource/Sam_Dastor
ESBB762R,cast,Jon Laurimore,Flavius,http://shakespeare.acropolis.org.uk/people/Jon+Laurimore
ESBB762R,cast,John Sterland,Marullus,http://dbpedia.org/resource/John_Sterland
ESBB762R,cast,Garrick Hagon,Octavius Caesar,http://shakespeare.acropolis.org.uk/people/Garrick+Hagon
ESBB762R,cast,Brian Coburn,Messala,http://shakespeare.acropolis.org.uk/people/Jon+Laurimore
ESBB762R,cast,Leonard Preston,Titinius,http://shakespeare.acropolis.org.uk/people/Leonard+Preston
ESBB762R,cast,Alexander Davion,Decius Brutus,http://shakespeare.acropolis.org.uk/people/Alexander+Davion
ESBB762R,cast,Darien Angadi,Cinna,http://shakespeare.acropolis.org.uk/people/Darien+Angadi
ESBB762R,cast,Andrew Hilton,Lucilius,http://shakespeare.acropolis.org.uk/people/Andrew+Hilton
ESBB762R,cast,Anthony Dawes,Ligarius,http://shakespeare.acropolis.org.uk/people/Anthony+Dawes
ESBB762R,cast,Roger Bizley,Metellus,http://shakespeare.acropolis.org.uk/people/Roger+Bizley
ESBB762R,cast,Manning Wilson,Cicero,http://shakespeare.acropolis.org.uk/people/Manning+Wilson
ESBB762R,cast,Ronald Forfar,Soothsayer,http://dbpedia.org/resource/Ronald_Forfar
ESBB762R,cast,Patrick Marley,Artemidorus,http://shakespeare.acropolis.org.uk/people/Patrick+Marley
ESBB762R,cast,William Simons,Trebonius,http://shakespeare.acropolis.org.uk/people/William+Simons
ESBB762R,cast,John Tordoff,Cinna the Poet,http://shakespeare.acropolis.org.uk/people/John+Tordoff
ESBB762R,cast,Philip York,Young Cato,http://shakespeare.acropolis.org.uk/people/Philip+York
ESBB762R,cast,Christopher Good,Clitus,http://shakespeare.acropolis.org.uk/people/Christopher+Good
ESBB762R,cast,Robert Oates,Pindarus,http://shakespeare.acropolis.org.uk/people/Robert+Oates
ESBB762R,cast,Alan Thompson,First Citizen,http://shakespeare.acropolis.org.uk/people/Alan+Thompson
ESBB762R,cast,Alan Thompson,First Plebeian,http://shakespeare.acropolis.org.uk/people/Alan+Thompson
ESBB762R,cast,Leo Dolan,Second Citizen,http://shakespeare.acropolis.org.uk/people/Leo+Dolan
ESBB762R,cast,Leo Dolan,Second Plebeian,http://shakespeare.acropolis.org.uk/people/Leo+Dolan
ESBB762R,cast,Johnnie Wade,Third Plebeian,http://shakespeare.acropolis.org.uk/people/Johnnie+Wade
ESBB762R,cast,Johnnie Wade,First Soldier,http://shakespeare.acropolis.org.uk/people/Johnnie+Wade
ESBB762R,cast,David Henry,Fourth Plebeian,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB762R,cast,David Henry,Second Soldier,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB762R,cast,Jonathan Scott Taylor,Lucius,http://shakespeare.acropolis.org.uk/people/Jonathan+Scott+Taylor
ESBB762R,cast,Tom Kelly,Claudius,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB762R,cast,Tom Kelly,Antony's Servant,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB762R,cast,Jack Elliott,Octavius' Servant,http://shakespeare.acropolis.org.uk/people/Jack+Elliott
ESBB762R,cast,Jack Elliott,Messenger,http://shakespeare.acropolis.org.uk/people/Jack+Elliott
ESBB762R,cast,Michael Cogan,Caesar's Servant,http://shakespeare.acropolis.org.uk/people/Michael+Cogan
ESBB762R,cast,Reginald Jessup,Poet,http://shakespeare.acropolis.org.uk/people/Reginald+Jessup
ESBB762R,cast,Maurice Thorogood,Strato,http://shakespeare.acropolis.org.uk/people/Maurice+Thorogood
ESBB762R,cast,Michael Greatorex,Varro,http://shakespeare.acropolis.org.uk/people/Michael+Greatorex
ESBB762R,cast,Nicholas Gecks,Volumnius,http://dbpedia.org/resource/Nicholas_Gecks
ESBB762R,cast,Michael Jenkinson,Dardanius,http://shakespeare.acropolis.org.uk/people/Michael+Jenkinson
ESBB762R,cast,Roy Spencer,Lepidus,http://shakespeare.acropolis.org.uk/people/Michael+Greatorex
ESBB762R,cast,Terence Conoley,Popilius,http://shakespeare.acropolis.org.uk/people/Terence+Conoley
ESBB762R,cast,Noel Johnson,Publius,http://dbpedia.org/resource/Noel_Johnson
ESBB763K,cast,Richard Pasco,Brutus,http://dbpedia.org/resource/Richard_Pasco
ESBB763K,cast,Charles Gray,Julius Caesar,http://dbpedia.org/resource/Charles_Gray_(actor)
ESBB763K,cast,Keith Michell,Marc Antony,http://dbpedia.org/resource/Keith_Michell
ESBB763K,cast,David Collings,Cassius,http://dbpedia.org/resource/David_Collings
ESBB763K,cast,Virginia McKenna,Portia,http://dbpedia.org/resource/Virginia_McKenna
ESBB763K,cast,Elizabeth Spriggs,Calphurnia,http://dbpedia.org/resource/Elizabeth_Spriggs
ESBB763K,cast,Sam Dastor,Casca,http://dbpedia.org/resource/Sam_Dastor
ESBB763K,cast,Jon Laurimore,Flavius,http://shakespeare.acropolis.org.uk/people/Jon+Laurimore
ESBB763K,cast,John Sterland,Marullus,http://dbpedia.org/resource/John_Sterland
ESBB763K,cast,Garrick Hagon,Octavius Caesar,http://shakespeare.acropolis.org.uk/people/Garrick+Hagon
ESBB763K,cast,Brian Coburn,Messala,http://shakespeare.acropolis.org.uk/people/Jon+Laurimore
ESBB763K,cast,Leonard Preston,Titinius,http://shakespeare.acropolis.org.uk/people/Leonard+Preston
ESBB763K,cast,Alexander Davion,Decius Brutus,http://shakespeare.acropolis.org.uk/people/Alexander+Davion
ESBB763K,cast,Darien Angadi,Cinna,http://shakespeare.acropolis.org.uk/people/Darien+Angadi
ESBB763K,cast,Andrew Hilton,Lucilius,http://shakespeare.acropolis.org.uk/people/Andrew+Hilton
ESBB763K,cast,Anthony Dawes,Ligarius,http://shakespeare.acropolis.org.uk/people/Anthony+Dawes
ESBB763K,cast,Roger Bizley,Metellus,http://shakespeare.acropolis.org.uk/people/Roger+Bizley
ESBB763K,cast,Manning Wilson,Cicero,http://shakespeare.acropolis.org.uk/people/Manning+Wilson
ESBB763K,cast,Ronald Forfar,Soothsayer,http://dbpedia.org/resource/Ronald_Forfar
ESBB763K,cast,Patrick Marley,Artemidorus,http://shakespeare.acropolis.org.uk/people/Patrick+Marley
ESBB763K,cast,William Simons,Trebonius,http://shakespeare.acropolis.org.uk/people/William+Simons
ESBB763K,cast,John Tordoff,Cinna the Poet,http://shakespeare.acropolis.org.uk/people/John+Tordoff
ESBB763K,cast,Philip York,Young Cato,http://shakespeare.acropolis.org.uk/people/Philip+York
ESBB763K,cast,Christopher Good,Clitus,http://shakespeare.acropolis.org.uk/people/Christopher+Good
ESBB763K,cast,Robert Oates,Pindarus,http://shakespeare.acropolis.org.uk/people/Robert+Oates
ESBB763K,cast,Alan Thompson,First Citizen,http://shakespeare.acropolis.org.uk/people/Alan+Thompson
ESBB763K,cast,Alan Thompson,First Plebeian,http://shakespeare.acropolis.org.uk/people/Alan+Thompson
ESBB763K,cast,Leo Dolan,Second Citizen,http://shakespeare.acropolis.org.uk/people/Leo+Dolan
ESBB763K,cast,Leo Dolan,Second Plebeian,http://shakespeare.acropolis.org.uk/people/Leo+Dolan
ESBB763K,cast,Johnnie Wade,Third Plebeian,http://shakespeare.acropolis.org.uk/people/Johnnie+Wade
ESBB763K,cast,Johnnie Wade,First Soldier,http://shakespeare.acropolis.org.uk/people/Johnnie+Wade
ESBB763K,cast,David Henry,Fourth Plebeian,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB763K,cast,David Henry,Second Soldier,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB763K,cast,Jonathan Scott Taylor,Lucius,http://shakespeare.acropolis.org.uk/people/Jonathan+Scott+Taylor
ESBB763K,cast,Tom Kelly,Claudius,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB763K,cast,Tom Kelly,Antony's Servant,http://shakespeare.acropolis.org.uk/people/David+Henry
ESBB763K,cast,Jack Elliott,Octavius' Servant,http://shakespeare.acropolis.org.uk/people/Jack+Elliott
ESBB763K,cast,Jack Elliott,Messenger,http://shakespeare.acropolis.org.uk/people/Jack+Elliott
ESBB763K,cast,Michael Cogan,Caesar's Servant,http://shakespeare.acropolis.org.uk/people/Michael+Cogan
ESBB763K,cast,Reginald Jessup,Poet,http://shakespeare.acropolis.org.uk/people/Reginald+Jessup
ESBB763K,cast,Maurice Thorogood,Strato,http://shakespeare.acropolis.org.uk/people/Maurice+Thorogood
ESBB763K,cast,Michael Greatorex,Varro,http://shakespeare.acropolis.org.uk/people/Michael+Greatorex
ESBB763K,cast,Nicholas Gecks,Volumnius,http://dbpedia.org/resource/Nicholas_Gecks
ESBB763K,cast,Michael Jenkinson,Dardanius,http://shakespeare.acropolis.org.uk/people/Michael+Jenkinson
ESBB763K,cast,Roy Spencer,Lepidus,http://shakespeare.acropolis.org.uk/people/Michael+Greatorex
ESBB763K,cast,Terence Conoley,Popilius,http://shakespeare.acropolis.org.uk/people/Terence+Conoley
ESBB763K,cast,Noel Johnson,Publius,http://dbpedia.org/resource/Noel_Johnson
ESBB764E,cast,Richard Pasco,Brutus,http://dbpedia.org/resource/Richard_Pasco
ESBB764E,cast,Charles Gray,Julius Caesar,http://dbpedia.org/resource/Charles_Gray_(actor)
ESBB764E,cast,Keith Michell,Marc Antony,http://dbpedia.org/resource/Keith_Michell
ESBB764E,cast,David Collings,Cassius,http://dbpedia.org/resource/David_Collings
ESBB764E,cast,Virginia McKenna,Portia,http://dbpedia.org/resource/Virginia_McKenna
ESBB764E,cast,Elizabeth Spriggs,Calphurnia,http://dbpedia.org/resource/Elizabeth_Spriggs
ESBB764E,cast,Sam Dastor,Casca,http://dbpedia.org/resource/Sam_Dastor
ESBB764E,cast,Jon Laurimore,Flavius,http://shakespeare.acropolis.org.uk/people/Jon+Laurimore
ESBB764E,cast,John Sterland,Marullus,http://dbpedia.org/resource/John_Sterland
ESBB764E,cast,Garrick Hagon,Octavius Caesar,http://shakespeare.acropolis.org.uk/people/Garrick+Hagon
ESBB764E,cast,Brian Coburn,Messala,http://shakespeare.acropolis.org.uk/people/Jon+Laurimore
ESBB764E,cast,Leonard Preston,Titinius,http://shakespeare.acropolis.org.uk/people/Leonard+Preston
ESBB764E,cast,Alexander Davion,Decius Brutus,http://shakespeare.acropolis.org.uk/people/Alexander+Davion
ESBB764E,cast,Darien Angadi,Cinna,http://shakespeare.acropolis.org.uk/people/Darien+Angadi
ESBB764E,cast,Andrew Hilton,Lucilius,http://shakespeare.acropolis.org.uk/people/Andrew+Hilton
ESBB764E,cast,Anthony Dawes,Ligarius,http://shakespeare.acropolis.org.uk/people/Anthony+Dawes
ESBB764E,cast,Roger Bizley,Metellus,http://shakespeare.acropolis.org.uk/people/Roger+Bizley
ESBB764E,cast,Manning Wilson,Cicero,http://shakespeare.acropolis.org.uk/people/Manning+Wilson
